"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","92","should get all employee details","GET All Employees","Thu Dec 05 12:36:47 IST 2024","passed","Thu Dec 05 12:36:47 IST 2024","","","",""
"","1716","About Us Page","API GET and POST Request Status Code Verification","Thu Dec 05 12:28:14 IST 2024","passed","Thu Dec 05 12:28:15 IST 2024","","","",""
"","117","should get employee details by ID","GET Employee by ID","Thu Dec 05 12:36:43 IST 2024","passed","Thu Dec 05 12:36:43 IST 2024","","","",""
"","1794","Administration Page","API GET and POST Request Status Code Verification","Thu Dec 05 12:28:28 IST 2024","passed","Thu Dec 05 12:28:30 IST 2024","","","",""
"","1823","Vision and Mission Page","API GET and POST Request Status Code Verification","Thu Dec 05 12:28:08 IST 2024","passed","Thu Dec 05 12:28:10 IST 2024","","","",""
"","1654","Academics Page","API GET and POST Request Status Code Verification","Thu Dec 05 12:28:26 IST 2024","passed","Thu Dec 05 12:28:28 IST 2024","","","",""
"","20265","Handles initial pop-up","End-to-End Test for RMKEC Website","Wed Dec 04 15:06:18 IST 2024","failed","Wed Dec 04 15:06:39 IST 2024","","","",""
"","6151","Quality Policy Page","API GET and POST Request Status Code Verification","Thu Dec 05 12:28:02 IST 2024","passed","Thu Dec 05 12:28:08 IST 2024","","","",""
"","565","CP Tracker Log GET","API GET and POST Request Status Code Verification","Thu Dec 05 12:28:43 IST 2024","passed","Thu Dec 05 12:28:43 IST 2024","","","",""
"","146","CP Tracker Process Controller POST","API GET and POST Request Status Code Verification","Thu Dec 05 12:28:43 IST 2024","passed","Thu Dec 05 12:28:43 IST 2024","","","",""
"","318","NRJS JS Errors POST","API GET and POST Request Status Code Verification","Thu Dec 05 12:28:34 IST 2024","passed","Thu Dec 05 12:28:34 IST 2024","","","",""
"","2267","Grievances Contact Us Page","API GET and POST Request Status Code Verification","Thu Dec 05 12:28:22 IST 2024","passed","Thu Dec 05 12:28:24 IST 2024","","","",""
"","1787","Contact Us Page","API GET and POST Request Status Code Verification","Thu Dec 05 12:28:24 IST 2024","passed","Thu Dec 05 12:28:26 IST 2024","","","",""
"","4134","Grievance Page","API GET and POST Request Status Code Verification","Thu Dec 05 12:28:18 IST 2024","passed","Thu Dec 05 12:28:22 IST 2024","","","",""
"","89","should update employee details","PUT Update Employee","Thu Dec 05 12:36:34 IST 2024","passed","Thu Dec 05 12:36:34 IST 2024","","","",""
"","72","should delete an employee by ID","DELETE Employee","Thu Dec 05 12:36:51 IST 2024","passed","Thu Dec 05 12:36:51 IST 2024","","","",""
"","2365","Home Page","API GET and POST Request Status Code Verification","Thu Dec 05 12:28:15 IST 2024","passed","Thu Dec 05 12:28:18 IST 2024","","","",""
"","3896","NextGen Faculty Page","API GET and POST Request Status Code Verification","Thu Dec 05 12:28:39 IST 2024","passed","Thu Dec 05 12:28:43 IST 2024","","","",""
"","4475","Edwisely User Details GET","API GET and POST Request Status Code Verification","Thu Dec 05 12:28:34 IST 2024","passed","Thu Dec 05 12:28:39 IST 2024","","","",""
"","1765","Management Team Page","API GET and POST Request Status Code Verification","Thu Dec 05 12:28:10 IST 2024","passed","Thu Dec 05 12:28:12 IST 2024","","","",""
"","569660","Should test login functionality for multiple users","Data-driven login test with text verification","Thu Dec 05 12:01:31 IST 2024","passed","Thu Dec 05 12:11:00 IST 2024","","","",""
"","7150","Tests Quick Links button clicks","End-to-End Test for RMKEC Website","Wed Dec 04 15:06:46 IST 2024","broken","Wed Dec 04 15:06:54 IST 2024","","","",""
"","57069","should navigate through RMKEC website and perform all interactions","End-to-End Test for RMKEC Website","Wed Dec 04 16:27:04 IST 2024","passed","Wed Dec 04 16:28:01 IST 2024","","","",""
"","204","should create a new employee","POST Create Employee","Thu Dec 05 12:36:10 IST 2024","passed","Thu Dec 05 12:36:10 IST 2024","","","",""
"","6960","Tests Navigation through Slides","End-to-End Test for RMKEC Website","Wed Dec 04 15:06:39 IST 2024","failed","Wed Dec 04 15:06:46 IST 2024","","","",""
"","24204","should perform interactions and submit grievance form","Test with dynamic slide interaction and grievance form handling","Thu Dec 05 01:36:37 IST 2024","failed","Thu Dec 05 01:37:01 IST 2024","","","",""
"","40623","should interact with the website elements","Test RMKEC Website","Thu Dec 05 14:21:59 IST 2024","failed","Thu Dec 05 14:22:40 IST 2024","","","",""
"","3493","NRJS Browser Session Chunk POST","API GET and POST Request Status Code Verification","Thu Dec 05 12:28:30 IST 2024","passed","Thu Dec 05 12:28:34 IST 2024","","","",""
"","1614","About Us Page (2)","API GET and POST Request Status Code Verification","Thu Dec 05 12:28:12 IST 2024","passed","Thu Dec 05 12:28:13 IST 2024","","","",""
